mode,microband,sm_weight,sm_events,sm_fraction_of_total
exact_completed_only,q90_95,51.49795455375184,1042,0.049991244447755045
exact_completed_only,q95_97,20.564683929419317,418,0.019963009214926632
exact_completed_only,q97_98,10.293429023276229,208,0.009992267284540703
exact_completed_only,q98_99,10.34660058634527,211,0.010043883171619852
exact_completed_only,q99_100,10.320020268189374,211,0.01001808053161318
exact_plus_unit_weight_metadata,q90_95,9466.419744961313,6157,0.050000348864962595
exact_plus_unit_weight_metadata,q95_97,3793.3688499652653,2695,0.020036061254594235
exact_plus_unit_weight_metadata,q97_98,1895.6112708540077,1613,0.010012362372321873
exact_plus_unit_weight_metadata,q98_99,1888.4576663019989,1839,0.00997457800052357
exact_plus_unit_weight_metadata,q99_100,1899.5143789567214,3518,0.010032978061468472
exact_plus_approx_pending,q90_95,10531.410649272771,6452,0.04997474744726571
exact_plus_approx_pending,q95_97,4222.508708748726,2763,0.02003708841494745
exact_plus_approx_pending,q97_98,2100.4894398291344,1639,0.00996746141300247
exact_plus_approx_pending,q98_99,2111.2618823500475,2001,0.010018579930008544
exact_plus_approx_pending,q99_100,2110.8995610355664,3590,0.010016860605144196
