sample_validation_id,fit_stage,region,microband,observed,expected
Run2015D_remote_mht_aware_holdout,control_fit,JetHT_control,q90_95,358.0,335.2082865597463
Run2015D_remote_mht_aware_holdout,control_fit,JetHT_control,q95_97,106.0,141.12709526360305
Run2015D_remote_mht_aware_holdout,control_fit,JetHT_control,q97_98,38.0,71.3950624506735
Run2015D_remote_mht_aware_holdout,control_fit,JetHT_control,q98_99,43.0,69.81192055044633
Run2015D_remote_mht_aware_holdout,control_fit,JetHT_control,q99_100,39.0,68.96084582176758
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon_control,q90_95,524.0,122.4928405285067
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon_control,q95_97,188.0,50.19360870920014
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon_control,q97_98,81.0,27.494399434842972
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon_control,q98_99,85.0,28.563500540915342
Run2015D_remote_mht_aware_holdout,control_fit,SingleMuon_control,q99_100,69.0,29.587742046177024
Run2015D_remote_mht_aware_holdout,heldout_MET_prediction,MET_trace,q90_95,315.0,86.89190504211997
Run2015D_remote_mht_aware_holdout,heldout_MET_prediction,MET_trace,q95_97,113.0,32.79693742590549
Run2015D_remote_mht_aware_holdout,heldout_MET_prediction,MET_trace,q97_98,43.0,16.061487464218867
Run2015D_remote_mht_aware_holdout,heldout_MET_prediction,MET_trace,q98_99,76.0,16.40220809381922
Run2015D_remote_mht_aware_holdout,heldout_MET_prediction,MET_trace,q99_100,41.0,15.732311527724866
Run2016H_remote_mht_aware,control_fit,JetHT_control,q90_95,2022.0,2190.238992837613
Run2016H_remote_mht_aware,control_fit,JetHT_control,q95_97,801.0,922.048726480431
Run2016H_remote_mht_aware,control_fit,JetHT_control,q97_98,442.0,467.86112596479074
Run2016H_remote_mht_aware,control_fit,JetHT_control,q98_99,453.0,480.30905828860483
Run2016H_remote_mht_aware,control_fit,JetHT_control,q99_100,408.0,485.6366660047519
Run2016H_remote_mht_aware,control_fit,SingleMuon_control,q90_95,1282.0,806.7682695706629
Run2016H_remote_mht_aware,control_fit,SingleMuon_control,q95_97,510.0,340.2486074056041
Run2016H_remote_mht_aware,control_fit,SingleMuon_control,q97_98,237.0,182.90335997602494
Run2016H_remote_mht_aware,control_fit,SingleMuon_control,q98_99,228.0,202.78445426075325
Run2016H_remote_mht_aware,control_fit,SingleMuon_control,q99_100,216.0,222.00588603525398
Run2016H_remote_mht_aware,heldout_MET_prediction,MET_trace,q90_95,1980.0,540.006567043996
Run2016H_remote_mht_aware,heldout_MET_prediction,MET_trace,q95_97,1195.0,203.8465393892595
Run2016H_remote_mht_aware,heldout_MET_prediction,MET_trace,q97_98,704.0,99.81020986006929
Run2016H_remote_mht_aware,heldout_MET_prediction,MET_trace,q98_99,799.0,101.92753539544242
Run2016H_remote_mht_aware,heldout_MET_prediction,MET_trace,q99_100,908.0,97.72668246855572
Run2016G_remote_mht_aware_fresh,control_fit,JetHT_control,q90_95,752.0,814.3754916227454
Run2016G_remote_mht_aware_fresh,control_fit,JetHT_control,q95_97,278.0,342.74649374825105
Run2016G_remote_mht_aware_fresh,control_fit,JetHT_control,q97_98,139.0,175.70285530406824
Run2016G_remote_mht_aware_fresh,control_fit,JetHT_control,q98_99,155.0,209.35671607686504
Run2016G_remote_mht_aware_fresh,control_fit,JetHT_control,q99_100,171.0,225.20398760210423
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon_control,q90_95,773.0,308.12882260758056
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon_control,q95_97,282.0,142.1566044631393
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon_control,q97_98,150.0,72.15358533650519
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon_control,q98_99,154.0,95.96818797648763
Run2016G_remote_mht_aware_fresh,control_fit,SingleMuon_control,q99_100,129.0,119.07071625642345
Run2016G_remote_mht_aware_fresh,heldout_MET_prediction,MET_trace,q90_95,398.0,165.45632688297985
Run2016G_remote_mht_aware_fresh,heldout_MET_prediction,MET_trace,q95_97,263.0,62.4895711482007
Run2016G_remote_mht_aware_fresh,heldout_MET_prediction,MET_trace,q97_98,153.0,30.572146159668467
Run2016G_remote_mht_aware_fresh,heldout_MET_prediction,MET_trace,q98_99,186.0,31.22068888716876
Run2016G_remote_mht_aware_fresh,heldout_MET_prediction,MET_trace,q99_100,200.0,29.88314933204909
