candidate,split,signal_jet_bin,Run2016_MET_Z,Run2015D_MET_Z,Run2015D_HTMHT_Z,Run2015D_JetHT_control_Z,Run2015D_SingleMuon_control_Z,Run2016_other_jetbin_max_absZ,Run2015D_dataset_control_max_absZ,signal_stouffer_Z,min_signal_Z,selection_score,passes_trace_breakthrough_screen
tri_dynamic_00,development,1to2jets,4.47573409168525,0.2924322991574083,2.2500193937998936,0.9565662760106559,-1.3195711081289694,2.019534736889305,1.3195711081289694,4.051951451986182,0.2924322991574083,0.2924322991574083,False
tri_dynamic_03,development,1to2jets,4.47573409168525,0.2924322991574083,-0.374317521096631,0.9565662760106559,-1.3195711081289694,2.019534736889305,1.3195711081289694,2.5367898277264014,-0.374317521096631,-0.374317521096631,False
tri_dynamic_01,development,1to2jets,4.47573409168525,0.2924322991574083,-0.424012669249597,0.9565662760106559,-1.3195711081289694,2.019534736889305,1.3195711081289694,2.508098320562868,-0.424012669249597,-0.424012669249597,False
tri_dynamic_02,development,1to2jets,4.47573409168525,0.2924322991574083,-0.6905286103634716,0.9565662760106559,-1.3195711081289694,2.019534736889305,1.3195711081289694,2.3542252702174467,-0.6905286103634716,-0.6905286103634716,False
tri_dynamic_11,development,0jet,16.174069237638726,13.80553013771529,2.251045382655634,13.57670211722672,5.91538796054767,4.327746444055132,13.57670211722672,18.608371427192075,2.251045382655634,-9.653403178626217,False
tri_dynamic_08,development,0jet,16.174069237638726,13.80553013771529,1.6409693886411982,13.57670211722672,5.91538796054767,4.327746444055132,13.57670211722672,18.25614388782171,1.6409693886411982,-10.263479172640654,False
tri_dynamic_07,development,0jet,18.436617270879434,18.327482571435123,2.251045382655634,13.57670211722672,5.91538796054767,5.181819301913877,13.57670211722672,22.52540459810888,2.251045382655634,-10.507476036484963,False
tri_dynamic_09,development,0jet,16.174069237638726,13.80553013771529,0.8670997987337321,13.57670211722672,5.91538796054767,4.327746444055132,13.57670211722672,17.80935007177097,0.8670997987337321,-11.03734876254812,False
tri_dynamic_04,development,0jet,18.436617270879434,18.327482571435123,1.6409693886411982,13.57670211722672,5.91538796054767,5.181819301913877,13.57670211722672,22.17317705873852,1.6409693886411982,-11.117552030499398,False
tri_dynamic_05,development,0jet,18.436617270879434,18.327482571435123,0.8670997987337321,13.57670211722672,5.91538796054767,5.181819301913877,13.57670211722672,21.72638324268778,0.8670997987337321,-11.891421620406865,False
tri_dynamic_10,development,0jet,16.174069237638726,13.80553013771529,-0.012630394760701259,13.57670211722672,5.91538796054767,4.327746444055132,13.57670211722672,17.301437607742717,-0.012630394760701259,-11.917078956042552,False
tri_dynamic_06,development,0jet,18.436617270879434,18.327482571435123,-0.012630394760701259,13.57670211722672,5.91538796054767,5.181819301913877,13.57670211722672,21.21847077865953,-0.012630394760701259,-12.771151813901298,False
