column,missing_fraction,nonmissing
event_id,0.0,131708
source_file,0.0,131708
source_entry,0.0,131708
extraction_mode,0.0,131708
full_boundary_features_available,0.0,131708
jet_only_features_available,0.0,131708
MET_pt,1.0,0
MET_phi,1.0,0
N_jets,0.0,131708
N_jets_30,0.0,131708
N_jets_50,0.0,131708
HT,0.0,131708
leading_jet_pt,0.00016703617092355818,131686
subleading_jet_pt,0.0005694414917848574,131633
leading_jet_eta,0.00016703617092355818,131686
jet_mass_sum_30,0.0,131708
N_leptons,1.0,0
N_muons,1.0,0
N_electrons,1.0,0
N_btags_loose,1.0,0
N_btags_medium,1.0,0
N_btags_tight,1.0,0
N_b_hadron_flavour_proxy,0.0,131708
N_PF_candidates,1.0,0
event_weight,0.0,131708
missing_MET,0.0,131708
missing_leptons,0.0,131708
missing_btags,0.0,131708
MET_fraction,1.0,0
N_objects,0.0,131708
Visible_HT,0.0,131708
Nb_missing,0.0,131708
S_event_proxy,0.0,131708
high_MET,0.0,131708
high_multiplicity,0.0,131708
R_reconstruction,0.0,131708
B_event_jetonly,0.0,131708
B_event_jetonly_z,0.0,131708
B_event,0.0,131708
B_event_z,0.0,131708
B_event_status,0.0,131708
B_quartile,0.0,131708
