analysis,High B,Low B
ATLAS-SUSY-2015-02-eff,2.633190883190884,
ATLAS-SUSY-2015-06-eff,,-0.4569264069264068
ATLAS-SUSY-2016-06-eff,-0.9032258064516132,
ATLAS-SUSY-2016-07-eff,,0.5693040735097699
ATLAS-SUSY-2016-16-eff,1.2272764410267882,
ATLAS-SUSY-2016-24-eff,-0.9038461538461537,1.2139092070126554
ATLAS-SUSY-2016-27-eff,-1.7655844155844154,
ATLAS-SUSY-2016-32-eff-trim,-3.799503968253968,
ATLAS-SUSY-2017-03-eff,5.5321428571428575,0.34950510855683276
ATLAS-SUSY-2018-04-eff,0.6916221033868093,
ATLAS-SUSY-2018-05-ewk-eff,-1.224146523224461,
ATLAS-SUSY-2018-05-strong-eff,0.3023759675825692,
ATLAS-SUSY-2018-06-eff,2.0714285714285716,
ATLAS-SUSY-2018-08-eff,-0.8750000000000002,-0.7333389347332688
ATLAS-SUSY-2018-10-eff,,0.043077597849323176
ATLAS-SUSY-2018-12-eff,0.47324179465003535,
ATLAS-SUSY-2018-13-eff,0.116981132075472,
ATLAS-SUSY-2018-14-eff,,-1.7289473684210526
ATLAS-SUSY-2018-16-eff,,0.37994267436925566
ATLAS-SUSY-2018-16-hino-eff,,1.4376289179302888
ATLAS-SUSY-2018-19-eff,0.0,
ATLAS-SUSY-2018-22-eff,0.5740071753339017,-0.3860608974358974
ATLAS-SUSY-2018-22-multibin-eff,0.0892609290130906,
ATLAS-SUSY-2018-31-eff,0.16790157871207875,
ATLAS-SUSY-2018-32-eff,,-0.06755265910018401
ATLAS-SUSY-2018-33-eff,-2.2288987634014354,
ATLAS-SUSY-2018-40-eff,0.33589015151515145,
ATLAS-SUSY-2018-41-eff,-1.1320806207235292,
ATLAS-SUSY-2018-42-eff,3.296930675670877,
ATLAS-SUSY-2019-02-eff,,-0.4413035626242835
ATLAS-SUSY-2019-08-eff,1.1910139738277443,2.1153846153846154
ATLAS-SUSY-2019-09-eff,0.08036875009140235,0.4239000120250119
CMS-PAS-SUS-16-052-agg,0.653746881362258,
CMS-SUS-16-033-eff,0.19272683300124163,0.3857892731217689
CMS-SUS-16-039-agg,0.6125845731286884,
CMS-SUS-16-048-ma5,0.22022043361341095,
CMS-SUS-16-050-agg,0.046829980970713815,
CMS-SUS-19-006-agg,-0.1903838471404961,1.2848909066434977
CMS-SUS-20-004-eff,1.686060913419263,
CMS-SUS-21-002-eff,0.07400501029726021,
